Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Parque Pedro del Río Zañartu,Hualpén,"Hualpén, Bío Bío","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-36.7970539,-73.15271779999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJtU9BXZPKaZYRkMvF8ims_lE
Mega Centro Hualpen.,Hualpén,"Veintiuno de Mayo 9836, Hualpén, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.8043623,-73.080252,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJuQ46R4S1aZYRigOaSODY4oE
Portal Biobío,Hualpén,"Avenida Costanera Norte 9781, Hualpén, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.80747170000001,-73.0896964,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ1XXzRHjKaZYR4_YHC0vggMs
Centro Urbano Bio Bio,Hualpén,"Hualpén, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.795756,-73.069746,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJWVjf_nW1aZYRHBuXk65eY98
Vega Monumental,Concepción,"Veintiuno de Mayo 3225, Concepción, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.8084633,-73.0780449,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJzUmgDI-1aZYRYqtJRi8-6mc
Mallplaza Mirador Bio Bio,Concepción,"Av. Los Carrera 301, Concepción, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.8298541,-73.06336069999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJBVNGgee1aZYRPu4Bv01sRzM
Parque Pedro del Río Zañartu,Hualpén,"Hualpén, Bío Bío","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-36.7970539,-73.15271779999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJtU9BXZPKaZYRkMvF8ims_lE
Galería de La Historia de Concepción,Concepción,"Calle Hospicio Nº40, Intersección Lincoyán - Víctor Lamas Parque Ecuador, Concepción, Bío Bío","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-36.8338014,-73.0500612,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJzbQgxte1aZYR5jnId8ybayI
Piedra De La Costilla Hualqui,Hualqui,"Hualqui, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.0423737,-72.9283367,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJwdn5YhS9aZYR9w0IcvqQglc
Estación Quilacoya,Hualqui,"Ruta Quilacoya, O-60, Hualqui, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.0545204,-72.96345339999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJtd5jh5a9aZYRAnvk1y4IjEs
Ilustre Municipalidad de Hualqui,Hualqui,"Freire 351, Hualqui, Bío Bío","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",-36.9753614,-72.9384259,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJBc1ndnq7aZYReoDGgg0yYJU
Jardinera Lounge,Hualqui,"Los Castaños 750, Hualqui, Bío Bío","['shopping_mall', 'point_of_interest', 'store', 'establishment']",-36.96833590000001,-72.9420794,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJFYZAKKq7aZYRt-Xlp5rv41Q
Gasco Hualqui,Hualqui,"José Miguel Carrera 776, Hualqui, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.9728623,-72.93643999999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJV6PpFF67aZYR8_MezhovOQs
Mallplaza Mirador Bio Bio,Concepción,"Av. Los Carrera 301, Concepción, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-36.8298541,-73.06336069999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJBVNGgee1aZYRPu4Bv01sRzM
Estadio Municipal De Hualqui,Hualqui,"Portales 802, Hualqui, Bío Bío","['stadium', 'point_of_interest', 'establishment']",-36.9751468,-72.931659,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJTSirdmW7aZYRqgrLCenr8Mo
Ferretería Gran Fe,Laja,"O'Higgins 44, Laja, Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-37.2815622,-72.71518429999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJHVfClOiDaZYRFb6dxIAyBM8
Cueva del Toro,Lebu,"Lebu, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.578688,-73.6436868,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJgSWWVff5QZYRtHuesfkxfdw
Parque Las Lianas,Lebu,"Lebu, Bío Bío","['park', 'tourist_attraction', 'point_of_interest', 'establishment']",-37.5989479,-73.62629679999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,ChIJR7e4OTz6QZYRDXX-soyaMG8
Universidad del Sur de California,CA 90007,"Los Angeles, CA 90007, Estados Unidos","['university', 'point_of_interest', 'establishment']",34.0223519,-118.285117,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJ7aVxnOTHwoARxKIntFtakKo
Little Tokyo Branch Library,CA 90012,"203 S Los Angeles St, Los Angeles, CA 90012, Estados Unidos","['library', 'point_of_interest', 'establishment']",34.0501886,-118.2436167,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJWegY_0jGwoARyXww2MuDp10
Chinatown Branch Library,CA 90012,"639 N Hill St, Los Angeles, CA 90012, Estados Unidos","['library', 'point_of_interest', 'establishment']",34.0606648,-118.2410699,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJO02lnFrGwoARLji_5tiqsbI
Natural History Research Library,CA 90007,"900 Exposition Blvd, Los Angeles, CA 90007, Estados Unidos","['library', 'point_of_interest', 'establishment']",34.0166954,-118.2887435,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJXzARBf3HwoAR-3YILnciod4
LA Law Library,CA 90012,"301 W 1st St, Los Angeles, CA 90012, Estados Unidos","['library', 'point_of_interest', 'establishment']",34.0542204,-118.2458278,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJa77cjU7GwoARwubRCIN37DI
Hebrew Union College - Frances-Henry Library,CA 90007,"3077 University Ave, Los Angeles, CA 90007, Estados Unidos","['library', 'point_of_interest', 'establishment']",34.025743,-118.2832064,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJ9wKvxuXHwoARwczojnq56JY
Dynasty Shopping Center,CA 90012,"800 N Broadway, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0624234,-118.2379806,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJx41kslvGwoARWO4ChCMtEuQ
Weller Court,CA 90012,"123 Astronaut Ellison S Onizuka St, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0500084,-118.242591,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJZZ-jjkjGwoARv0ZBHtaFvTI
Chinatown Saigon Plaza,CA 90012,"828 N Broadway, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0628237,-118.2375863,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJMxzot1vGwoAR9j47q1gR71s
Far East Plaza,CA 90012,"727 N Broadway, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0613051,-118.2394423,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJx757YFrGwoARR1LCwNunQZg
Honda Plaza,CA 90012,"408 E 2nd St, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0470077,-118.2388678,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJPYdyQjjGwoARQMbq9fYktF8
ROW DTLA,CA 90021,"777 Alameda St, Los Angeles, CA 90021, Estados Unidos","['shopping_mall', 'hair_care', 'bakery', 'cafe', 'furniture_store', 'home_goods_store', 'liquor_store', 'restaurant', 'food', 'gym', 'health', 'point_of_interest', 'clothing_store', 'store', 'establishment']",34.033742,-118.2415997,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJMePKfyXGwoAR7SsBsuWsli4
Qian Yi Fashion,CA 90012,"812 N Broadway, Los Angeles, CA 90012, Estados Unidos","['shopping_mall', 'point_of_interest', 'establishment']",34.0625998,-118.2376797,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ-_jXs1vGwoARGMBcAlazY2g
Museo de Historia Natural del Condado de Los Ángeles,CA 90007,"900 W Exposition Blvd, Los Angeles, CA 90007, Estados Unidos","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",34.0169567,-118.2887703,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJXzARBf3HwoARJyT7uZSV-G4
The Broad,CA 90012,"221 S Grand Ave, Los Angeles, CA 90012, Estados Unidos","['art_gallery', 'tourist_attraction', 'museum', 'point_of_interest', 'establishment']",34.0541572,-118.2505099,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJXaYsEk3GwoARvx7RKBUE8Zg
Avila Adobe,CA 90012,"10 Olvera St, Los Angeles, CA 90012, Estados Unidos","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",34.057251,-118.237977,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ-1Vb4UTGwoARANaWGbqWTUA
The Geffen Contemporary at MOCA,CA 90012,"152 N Central Ave, Los Angeles, CA 90012, Estados Unidos","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",34.0504802,-118.2385408,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ0x2451XAwoARPfiYjJGDxBs
Japanese American National Museum,CA 90012,"100 N Central Ave, Los Angeles, CA 90012, Estados Unidos","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",34.0496239,-118.2385887,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJpQpNmkfGwoARPgqyi4UHWkM
LA Plaza de Cultura y Artes,CA 90012,"501 N Main St, Los Angeles, CA 90012, Estados Unidos","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",34.0564772,-118.2398739,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJlX4jZ0XGwoARV6YI-7mTRQ8
African-American Firefighter Museum,CA 90021,"1401 S Central Ave, Los Angeles, CA 90021, Estados Unidos","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",34.0284523,-118.2472488,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJHweVKyrGwoARbKTLYep_3I0
Dodger Stadium,CA 90012,"1000 Vin Scully Ave, Los Angeles, CA 90012, Estados Unidos","['stadium', 'tourist_attraction', 'point_of_interest', 'establishment']",34.073851,-118.2399583,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/stadium-71.png,ChIJdVYAVPnGwoAR3wmcg09VlJ4
Mina Chiflón del Diablo,Lota,"Antonio Ríos S/N, Lota, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.075785,-73.1604573,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJHbUQ2ZXBaZYRn3nEjpWeIWM
Piedra Del Leon,Lota,"Lota, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.1017845,-73.1593118,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJId0oHtnraZYRLCrZFobGbOg
Universidad San Sebastián,Providencia,"Lota 2465, Providencia, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4234578,-70.6029468,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJ3R6cG2zPYpYRp6LOO4z2r9U
Museo Histórico de Lota,Lota,"El Parque 21, Lota, Bío Bío","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-37.0896534,-73.16320569999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ19DnzejBaZYRpsiRXHAlss4
Salto Del Rehuén,Mulchén,"Ruta, Q-95-R, Mulchen, Mulchén, Bío Bío","['tourist_attraction', 'point_of_interest', 'establishment']",-37.7692298,-72.25150909999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJD7cJoNyXa5YR2lgQiYFjSMs
Panaderia Crismar,Mulchén,"Villalon N° 44, Mulchen, Mulchén, Región del Bío Bío","['shopping_mall', 'point_of_interest', 'establishment']",-37.7317954,-72.2367161,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJXd8nld2Xa5YRFr8rbMXsPPU
