Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Hospital DIPRECA,Las Condes,"Vital Apoquindo 1200, Las Condes, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.4174394,-70.52806439999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJb_ss4ILOYpYRxq8f8nFQzko
Hospital Fach,Las Condes,"Av. las Condes 8631, Las Condes, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.3964788,-70.5474055,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJGUXVeLfOYpYR9mX9lHfqrlQ
"Cesfam Apoquindo,Las Condes",Las Condes,"Cerro Altar 6611, Las Condes, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.40028390000001,-70.5644282,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJ2xpRadrOYpYRIpzXN_U5f_k
IntegraMédica Las Condes,Las Condes,"Av Presidente Kennedy 9001, Piso 3, Las Condes, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.390909,-70.5461548,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJgwc9ZrTOYpYRxCcj4R_Wnmg
"Edificio G azul, Clínica Las Condes",Las Condes,"Camino del Enfermo, Las Condes, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.3843322,-70.5317151,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJ-4pCKzbPYpYRmIOuVj28NdY
Municipalidad de Las Condes,Las Condes,"Av. Apoquindo 3400, Las Condes, Región Metropolitana","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']",-33.4160267,-70.5947928,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,ChIJn-erbRXPYpYR08AgD0XtQLg
Universidad de los Andes,Las Condes,"Monseñor Álvaro del Portillo 12455, Santiago, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4043009,-70.5064082,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJbRiEeD7MYpYRk4GqqcD_NxQ
UNAB - Universidad Andrés Bello,Las Condes,"Fernández Concha 700, Santiago, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.3762168,-70.5049425,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJaY8Ci_TLYpYRgSww2NPKAxo
Universidad Adolfo Ibáñez - Sede Presidente Errázuriz,Las Condes,"Pdte Errázuriz 3485, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4211063,-70.5917138,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJMROL5BPPYpYRpcLvv7KWiXI
Duoc UC San Carlos de Apoquindo,Las Condes,"Camino El Alba 12881, Las Condes, Región Metropolitana","['university', 'point_of_interest', 'establishment']",-33.4003253,-70.5056056,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJVYVfeRXMYpYRtbGwtO5MWXg
